id,event_date,event_summary,source_quote,core_sentence,category,event_type,intensity,actor_raw_names,actor_normalized_names,actor_countries,recipient_raw_names,recipient_normalized_names,recipient_countries,third_party_raw_names,third_party_normalized_names,third_party_countries,location_raw_names,location_normalized_names,location_countries,article_count,article_links
"812b3a9f5912","2024-01-31","Russia and Ukraine completed a large prisoner exchange in which Russia received 195 soldiers and Ukraine received 207 individuals. The exchange was facilitated by the United Arab Emirates and was originally scheduled for January 24 but was delayed due to the downing of a Russian military transport plane by Ukraine.","The Russian Defence Ministry said each side had received 195 soldiers, while Ukraine said it had got 207 people back.","Russia and Ukraine COOPERATE in a prisoner exchange facilitated by the United Arab Emirates","COOPERATION","COOPERATE","0.8","Russia; Ukraine; United Arab Emirates","Russia; Ukraine; United Arab Emirates","Russia (143); Ukraine (181); UAE (182)","Russia; Ukraine","Russia; Ukraine","Russia (143); Ukraine (181)","","","","Russia; Ukraine","","Russia (143); Ukraine (181)","1",""
"894e06ed601b","2024-01-31","A Russian missile attack targeted a medical facility in a village near Kupiansk, Ukraine, injuring four people. The attack occurred late on January 31, 2024, amidst ongoing bombardment in the eastern Kharkiv region.","The interior ministry said the missile attack late Wednesday targeted a village near Kupiansk, a frontline town Russian forces have been trying to capture.","Russia ASSAULTED a medical facility and civilians in a village near Kupiansk, Ukraine.","CONFLICT","ASSAULT","-0.9","Russia","Russia","Russia (143)","Medical facility in a village near Kupiansk; Civilians in the village near Kupiansk","Medical facility in a village near Kupiansk; Civilians in the village near Kupiansk","Ukraine (181); Ukraine (181)","","","","Village near Kupiansk; Kharkiv region","","Ukraine (181); Ukraine (181)","2",""
"c24f1fa93384","2024-01-28","Russia conducted drone and missile attacks on four regions of Ukraine, specifically targeting civilian sites and critical infrastructure in Poltava, Donetsk, Zaporizhzhia, and Dnipropetrovsk. The attacks resulted in injuries to at least three individuals, including a 15-year-old boy and a 35-year-old man, due to a missile strike on a residential area in Donetsk.","Russia carried out overnight drone and missile attacks on four regions of Ukraine, wounding at least three people, the Ukrainian armed forces said on Sunday.","Russia ASSAULT Ukrainian civilians","CONFLICT","ASSAULT","-0.9","Russia","Russia","Russia (143)","Ukrainian civilians","Ukrainian civilians","Ukraine (181)","","","","Poltava; Donetsk; Zaporizhzhia; Dnipropetrovsk","","Ukraine (181); Ukraine (181); Ukraine (181); Ukraine (181)","1",""
"c3f693b692a3","2024-01-28","On January 28, 2024, Russia launched drone and missile attacks targeting civilian and critical infrastructure across Ukraine, specifically in the Poltava and Donetsk regions. The attacks included two ballistic missiles fired at an industrial site in Kremenchuk, Poltava, and three surface-to-air missiles in Donetsk, resulting in a fire at the industrial site.","Russia launched drone and missile attacks targeting civilian and critical infrastructure across wide areas of Ukraine, Kyiv’s Air Force said on Sunday.","Russia ASSAULT Ukraine","CONFLICT","ASSAULT","-0.9","Russia","Russia","Russia (143)","Ukraine","Ukraine","Ukraine (181)","","","","Poltava region; Donetsk region; Kremenchuk industrial site, Poltava; Donetsk industrial site","","Ukraine (181); Ukraine (181); Ukraine (181); Ukraine (181)","2",""
"5b1b36202198","2024-01-27","A Russian reconnaissance and sabotage group conducted a cross-border incursion into the Ukrainian village of Andriivka, located in the Sumy region, where they shot dead two civilians, a 54-year-old man and a 68-year-old woman, while they were driving in an SUV. This incident occurred within a 5km buffer zone along the border with Russia, an area designated for evacuation by Ukrainian authorities.","A Russian 'reconnaissance and sabotage group' shot dead two people – a brother and sister – in a Ukrainian village on Saturday during a cross-border incursion, local officials said.","Russian reconnaissance and sabotage group ASSAULT Ukrainian civilians","CONFLICT","ASSAULT","-0.9","Russian reconnaissance and sabotage group","Russian reconnaissance and sabotage group","Russia (143)","Ukrainian civilians","Ukrainian civilians","Ukraine (181)","","","","Andriivka, Sumy region; Sumy region","","Ukraine (181); Ukraine (181)","1",""
"3e603d5e9caf","2024-01-26","The Russian Investigative Committee announced the ongoing investigation into the crash of an IL-76 military transport plane, which they claim was targeted by a missile from Ukrainian territory. The incident resulted in the deaths of 74 individuals, including 65 Ukrainian captive soldiers, and the committee is scrutinizing armed formations in Ukraine to identify those responsible for the alleged terrorist act.","The Russian Investigative Committee releases details on the ongoing investigation into the fatal crash of the IL-76 military transport plane in Russia, claiming it was targeted by a missile from Ukrainian territory.","Russian Investigative Committee CONSULT in an ongoing investigation into the crash of an IL-76 military transport plane and armed formations in Ukraine.","COOPERATION","CONSULT","0.2","Russian Investigative Committee","Russian Investigative Committee","Russia (143)","","","","Ukrainian military; Ukrainian captive soldiers","Ukrainian forces; Ukrainian captive soldiers","Ukraine (181); Ukraine (181)","Ukraine","","Ukraine (181)","1",""
"02ad43db2a20","2024-01-24","A Russian Ilyushin Il-76 military transport plane crashed near the Ukrainian border while carrying 65 Ukrainian prisoners of war, six crew members, and three other individuals. The plane was reportedly involved in a prisoner exchange when the incident occurred in the Korochansky district, northeast of Belgorod city.","A Russian Ilyushin Il-76 military transport plane crashed near the Ukrainian border on Wednesday and state news agency RIA quoted the defence ministry as saying it was carrying Ukrainian prisoners of war to be exchanged in a swap.","Russian Ilyushin Il-76 military transport plane ASSAULT Ukrainian prisoners of war","CONFLICT","ASSAULT","-0.9","Russian Ilyushin Il-76 military transport plane","Russian Il-76 military transport plane","Russia (143)","Ukrainian prisoners of war","Ukrainian prisoners of war","Ukraine (181)","","","","Korochantsky district, northeast of Belgatorod city; near the Ukrainian border","","Russia (143); Ukraine (181)","3",""
"e05e855ee92e","2024-01-24","A Russian military transport plane crashed in the Belgorod region near Ukraine, carrying 65 Ukrainian prisoners of war. The cause of the crash is currently unknown, and it is unclear if there are any survivors. The Russian Ministry of Defense has dispatched a special team to the crash site.","The Associated Press has reported that a Russian military transport plane has crashed with 65 Ukrainian prisoners of war on board.","Russian Ministry of Defense COOPERATE Ukrainian prisoners of war","COOPERATION","COOPERATE","0.8","Russian Ministry of Defense","Russian Defense Ministry","Russia (143)","Ukrainian prisoners of war","Ukrainian prisoners of war","Ukraine (181)","","","","Belgorod region","","Ukraine (181)","1",""
"27deba19acab","2024-01-24","A Russian military transport plane, an Il-76, crashed in the Belgorod border region of Russia near Ukraine, resulting in the deaths of all 74 people aboard, including 65 Ukrainian prisoners of war. The Russian Defense Ministry accused Ukraine of shooting down the plane, claiming that two missiles were launched from Ukraine's Kharkiv region.","A Russian military transport plane crashed Wednesday in a border region near Ukraine, and Moscow accused Kyiv of shooting it down, saying all 74 people aboard were killed, including 65 Ukrainian prisoners of war headed for a swap.","Russian Defense Ministry ACCUSE Ukraine","CONFLICT","ACCUSE","-0.3","Russian Defense Ministry","Russian Defense Ministry","Russia (143)","Ukraine","Ukraine","Ukraine (181)","Ukrainian prisoners of war","Ukrainian prisoners of war","Ukraine (181)","Belgorodod border region; near Kyiv; Khrakov region","","Russia (143); Ukraine (181); Ukraine (181)","1",""
"224917bc24c9","2024-01-23","The Russian military launched missile strikes on Ukraine's military production facilities, successfully hitting all intended targets. The strikes were conducted using air- and land-based missiles, primarily targeting enterprises that produce missiles, explosives, and ammunition, resulting in at least four fatalities and over 60 injuries in Ukraine's two largest cities, Kyiv and Kharkiv.","Russia launched missile strikes on Ukraine's military production facilities and successfully hit all intended targets, the Russian Defence Ministry said on Tuesday.","Russian military ASSAULT Ukraine","CONFLICT","ASSAULT","-0.9","Russian military","Russian military","Russia (143)","Ukraine","Ukraine","Ukraine (181)","","","","Ukraine; Kyiv; Kharkiv","","Ukraine (181); Ukraine (181); Ukraine (181)","8",""
